2_bG1_episodenumber 2_bG1_ratiocorrect 2_bG1_nrofsubjects 2_bG1_fitteddata 2_bG1_param1 2_bG1_param2 2_bG1_minimaldist 2_bG1_thresholddelay 2_bG1_graphid
1 0.5833333333333334 12.0 0.6420811680197106 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
2 0.6923076923076923 13.0 0.6602724578154379 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
3 0.8181818181818182 11.0 0.6775391719955117 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
4 0.75 12.0 0.6939283022839198 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
5 0.6153846153846154 13.0 0.7094844520417232 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
6 0.8181818181818182 11.0 0.7242499576560367 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
7 0.8181818181818182 11.0 0.7382650037593927 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
8 0.6363636363636364 11.0 0.7515677325930593 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
9 0.6363636363636364 11.0 0.7641943478119483 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
10 0.8181818181818182 11.0 0.7761792130136194 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
11 0.7272727272727273 11.0 0.7875549452595303 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
12 0.8 10.0 0.7983525038430526 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
13 0.8 10.0 0.8086012745458353 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
14 0.8 10.0 0.818329149611826 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
15 0.8 10.0 0.8275626036565953 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
16 0.7272727272727273 11.0 0.8363267657185577 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
17 0.8 10.0 0.8446454876481756 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
18 0.8 10.0 0.8525414090212694 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
19 0.875 8.0 0.8600360187530967 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
20 0.875 8.0 0.8671497135808847 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
21 0.8571428571428571 7.0 0.8739018535739784 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
22 1.0 6.0 0.8803108148226733 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
23 1.0 6.0 0.8863940394491303 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
24 1.0 5.0 0.892168083076476 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
25 1.0 5.0 0.8976486598852779 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
26 0.75 4.0 0.9028506853800149 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
27 1.0 4.0 0.9077883169819356 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
28 1.0 4.0 0.9124749925587763 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
29 1.0 3.0 0.9169234669961989 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
30 1.0 3.0 0.9211458469104797 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
31 1.0 2.0 0.9251536235969188 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
32 1.0 2.0 0.9289577043036403 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
33 1.0 2.0 0.932568441915897 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
34 1.0 2.0 0.9359956631316639 0.37708420536754467 0.05216228453790264 1/2 12.157273363121913 3
