subjectname mean_rt_surprise std_rt_surprise se_rt_surprise mean_rt_nonsurprise std_rt_nonsurprise se_rt_nonsurprise mean_rt_diff
rt_fMRIAnalysis_April102015.csv 1.7736126470588236 1.3327405119647917 0.22856311216406464 1.6552214925373137 1.1731011049450595 0.10134050045766424 0.11839115452150994
rt_fMRIAnalysis_April172015.csv 2.0297892592592595 1.5132176912712703 0.29121888046599065 1.2327686111111114 1.148080604374412 0.09567338369786767 0.7970206481481481
rt_fMRIAnalysis_August242015.csv 1.22843 0.5611888548430021 0.09920511119644995 1.0789266923076923 0.44395205311054414 0.03893717083684229 0.14950330769230757
rt_fMRIAnalysis_August272015.csv 1.3712322580645164 0.5929730678915621 0.10650110695240732 1.027481851851852 0.6542477942521919 0.05630868469848169 0.3437504062126644
rt_fMRIAnalysis_Jan152016.csv 1.3404791666666664 0.6672269726792482 0.11120449544654137 1.1393476086956522 0.7818779713585104 0.06655787293753339 0.20113155797101423
rt_fMRIAnalysis_Jan212016.csv 1.5641716129032257 0.9000435134410513 0.16165258706881966 1.593161911764706 1.133677328004699 0.0972120288804729 -0.0289902988614803
rt_fMRIAnalysis_Jan222016_Exp1.csv 2.447295161290323 2.153153036739177 0.3867177014734075 2.1708594736842106 1.6532825669514455 0.15484409947420857 0.27643568760611226
rt_fMRIAnalysis_Jan222016_Exp2.csv 1.7151946666666664 1.4525254959047478 0.26519365981946935 2.194533174603175 1.5505362176613098 0.13813274505411827 -0.47933850793650845
rt_fMRIAnalysis_July092015.csv 1.0665110256410255 0.3786388925014305 0.06063074681505692 1.0020499172413795 0.4139919361807181 0.03438015899570663 0.06446110839964603
rt_fMRIAnalysis_July152015.csv 1.3973174285714287 0.5854684728053899 0.09896223416017642 1.2580815384615385 0.8266655698062193 0.07250336672835594 0.13923589010989024
rt_fMRIAnalysis_June052015_Exp1.csv 2.0772812121212123 1.6420134358325862 0.2858378499574983 2.220990129251701 1.55257139940294 0.12805393076877164 -0.1437089171304886
rt_fMRIAnalysis_Mar152016.csv 2.108554571428572 1.217115399297823 0.2057300516424305 1.5579805594405598 1.248900602979928 0.10443831505350028 0.550574011988012
rt_fMRIAnalysis_Mar172016_1.csv 0.5322993548387098 0.07562266749837572 0.013582232036116146 0.5760682781456954 0.1914751557487693 0.015582027188975868 -0.04376892330698556
rt_fMRIAnalysis_Mar172016_2.csv 1.389736 0.8861917933767133 0.14979375293556474 0.9164496026490064 0.7826975220921389 0.06369502101873672 0.47328639735099365
rt_fMRIAnalysis_Mar182016.csv 1.9608058064516127 1.2606880966778269 0.2264262663653811 2.328160390625 1.379298054065424 0.12191387591338382 -0.3673545841733872
rt_fMRIAnalysis_Mar222016.csv 2.293069117647059 1.2542209828979987 0.21509712402305353 2.070739389312977 1.2238073122493627 0.10692454132837097 0.2223297283340817
rt_fMRIAnalysis_Mar242016_1.csv 0.9730878571428568 0.4124595842410201 0.07794753469763105 1.0435554487179488 0.581745699276109 0.046576932404566375 -0.07046759157509197
rt_fMRIAnalysis_Mar292016.csv 1.424149333333333 1.0960157466523395 0.2001041826074512 0.8620330769230768 0.39006068752675677 0.03261851333621228 0.5621162564102562
rt_fMRIAnalysis_Mar312016_1.csv 1.5932270967741935 1.3534335210448856 0.2430838363204281 1.250451984126984 0.8667496380773585 0.07721619489989973 0.3427751126472094
rt_fMRIAnalysis_Mar312016_2.csv 2.4303282142857134 1.508004808829285 0.2849861214322706 2.2277301680672275 1.6177312200749097 0.14829717780382842 0.20259804621848598
rt_fMRIAnalysis_September032015.csv 1.6023032258064511 1.2882921735289377 0.23138410492539516 1.515519527559055 1.2848850746970095 0.1140151134884001 0.08678369824739618
