6_s1_episodenumber 6_s1_ratiocorrect 6_s1_nrofsubjects 6_s1_fitteddata 6_s1_param1 6_s1_param2 6_s1_minimaldist 6_s1_thresholddelay 6_s1_graphid
1 0.3333333333333333 12.0 0.4136857426521112 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
2 0.5 12.0 0.43691573677314277 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
3 0.5833333333333334 12.0 0.45922534968205087 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
4 0.45454545454545453 11.0 0.48065104723290386 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
5 0.5384615384615384 13.0 0.5012278504887474 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
6 0.45454545454545453 11.0 0.5209893929647746 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
7 0.5833333333333334 12.0 0.5399679756035005 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
8 0.45454545454545453 11.0 0.5581946195717984 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
9 0.6363636363636364 11.0 0.5756991169660988 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
10 0.6363636363636364 11.0 0.5925100795086276 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
11 0.5833333333333334 12.0 0.6086549853142826 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
12 0.6363636363636364 11.0 0.6241602238045862 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
13 0.5384615384615384 13.0 0.639051138842132 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
14 0.5454545454545454 11.0 0.6533520701560286 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
15 0.5454545454545454 11.0 0.6670863931260484 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
16 0.6363636363636364 11.0 0.6802765569905178 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
17 0.5 12.0 0.6929441215403924 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
18 0.7272727272727273 11.0 0.7051097923595016 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
19 0.9090909090909091 11.0 0.7167934546685591 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
20 0.9090909090909091 11.0 0.7280142058282626 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
21 0.9090909090909091 11.0 0.7387903865546076 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
22 0.8181818181818182 11.0 0.7491396108974382 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
23 0.9090909090909091 11.0 0.7590787950312371 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
24 0.6 10.0 0.7686241849052129 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
25 0.7777777777777778 9.0 0.777791382797881 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
26 0.6666666666666666 9.0 0.7865953728195408 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
27 0.875 8.0 0.7950505454043371 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
28 0.8333333333333334 6.0 0.8031707208319336 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
29 0.6666666666666666 3.0 0.8109691718172525 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
30 0.5 2.0 0.8184586452051961 0.610502602930868 0.040426635976219046 2/3 27.604700803082537 3
