4_bG1_episodenumber 4_bG1_ratiocorrect 4_bG1_nrofsubjects 4_bG1_fitteddata 4_bG1_param1 4_bG1_param2 4_bG1_minimaldist 4_bG1_thresholddelay 4_bG1_graphid
1 0.5 12.0 0.6314928135197513 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
2 0.8181818181818182 11.0 0.6877217231058406 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
3 0.6363636363636364 11.0 0.7353709078202413 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
4 0.8181818181818182 11.0 0.7757495105827741 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
5 1.0 10.0 0.8099669178863175 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
6 0.8181818181818182 11.0 0.8389632397616003 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
7 1.0 10.0 0.8635351389366712 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
8 1.0 10.0 0.8843577188372111 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
9 0.8181818181818182 11.0 0.902003071792031 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
10 0.9 10.0 0.9169559970485258 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
11 0.75 12.0 0.9296273204444826 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
12 1.0 10.0 0.9403651816890695 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
13 0.8 10.0 0.9494645993666889 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
14 1.0 10.0 0.9571755764584737 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
15 1.0 10.0 0.9637099690774951 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
16 0.9 10.0 0.9692473071335259 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
17 0.8181818181818182 11.0 0.9739397268478709 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
18 1.0 9.0 0.9779161506372029 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
19 1.0 8.0 0.9812858292070945 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
20 1.0 8.0 0.9841413431728969 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
21 1.0 8.0 0.9865611466763377 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
22 1.0 8.0 0.988611722882719 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
23 1.0 8.0 0.9903494105801698 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
24 1.0 7.0 0.9918219520660579 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
25 0.8571428571428571 7.0 0.9930698048481447 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
26 1.0 6.0 0.9941272531989613 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
27 1.0 4.0 0.9950233501029366 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
28 1.0 3.0 0.9957827154759064 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
29 0.6666666666666666 3.0 0.9964262125877783 0.4348606884801492 0.16556551000727981 1/4 4.691244914753086 1
